feature,importance
close,0.06234055097311876
hour_cos,0.062049019524668285
volatility,0.061023534698743435
bb_upper,0.05910579549394172
high,0.058360819115580095
sma_long,0.05751572579960022
macd_signal,0.054497790057177156
ema_medium,0.05185634831278739
hour,0.05035562981786469
bb_width,0.04892602473545324
macd,0.04693041636833725
low,0.045791167897128116
volume_sma,0.04532252777377799
atr,0.04498800230847119
bb_position,0.04459201708493832
price_vs_sma_medium,0.044017762237597624
ema_short,0.04248725172813114
stoch_k,0.0416234160473369
vwap_diff,0.04019265681057019
adx,0.03802354321477641
